"","pseudoStatus","pos_324.06017_13.565"
"XBR274","seroma_PA-",4.69588592485249
"XBR275","seroma_PA-",4.71305291118065
"XBR276","seroma_PA-",4.68721594702476
"XBR297","seroma_PA-",4.71793099872261
"XBR298","seroma_PA-",4.69525628037862
"XBR299","seroma_PA-",4.69730024156377
"XBR277","seroma_PA-",4.70885926542635
"XBR300","seroma_PA-",4.7645576315167
"XBR301","seroma_PA-",4.70611538917029
"XBR278","seroma_PA-",4.70959629639778
"XBR302","seroma_PA-",4.77909194943307
"XBR303","seroma_PA-",4.72428224827463
"XBR304","seroma_PA-",4.71640518290536
"XBR279","seroma_PA-",4.69150410395503
"XBR280","seroma_PA-",4.7020539633962
"XBR281","seroma_PA-",4.70646431632722
"XBR282","seroma_PA+",4.7000458369825
"XBR283","seroma_PA-",4.70770529474595
"XBR305","seroma_PA-",4.69785510860438
"XBR284","seroma_PA-",4.68701083350215
"XBR285","seroma_PA-",4.70765795202226
"XBR286","seroma_PA+",4.69915656852365
"XBR287","seroma_PA-",4.69923472861847
"XBR306","seroma_PA-",4.70843185084675
"XBR288","seroma_PA-",4.67854516353118
"XBR307","seroma_PA-",4.69440734045392
"XBR289","seroma_PA-",4.67669585094433
"XBR308","seroma_PA-",4.69464399066532
"XBR290","seroma_PA-",4.68758847750722
"XBR291","seroma_PA-",4.68015826333997
"XBR292","seroma_PA-",4.69073486121927
"XBR272","seroma_PA-",4.72636618343546
"XBR316","seroma_PA-",4.75106690476357
