"","pseudoStatus","pos_650.38711_16.274"
"XBR274","seroma_PA-",4.80653211301976
"XBR275","seroma_PA-",4.81529870657193
"XBR276","seroma_PA-",4.83218338096712
"XBR297","seroma_PA-",4.84347430819542
"XBR298","seroma_PA-",4.81664928199101
"XBR299","seroma_PA-",4.80055520367561
"XBR277","seroma_PA-",4.86532983399422
"XBR300","seroma_PA-",4.85277057549394
"XBR301","seroma_PA-",4.83942513237588
"XBR278","seroma_PA-",4.81943240110997
"XBR302","seroma_PA-",5.0225532093992
"XBR303","seroma_PA-",4.95654137000236
"XBR304","seroma_PA-",4.84157897993074
"XBR279","seroma_PA-",4.80362495448648
"XBR280","seroma_PA-",4.79967376507769
"XBR281","seroma_PA-",4.81631314021456
"XBR282","seroma_PA+",4.81286845796073
"XBR283","seroma_PA-",4.82753783345624
"XBR305","seroma_PA-",4.85940039534154
"XBR284","seroma_PA-",4.83463571460235
"XBR285","seroma_PA-",4.82754106264363
"XBR286","seroma_PA+",4.78001694003869
"XBR287","seroma_PA-",4.82465075718623
"XBR306","seroma_PA-",4.83725850876865
"XBR288","seroma_PA-",4.85081002697042
"XBR307","seroma_PA-",4.84127831375951
"XBR289","seroma_PA-",4.8729869497639
"XBR308","seroma_PA-",4.83482074101548
"XBR290","seroma_PA-",4.82205995019381
"XBR291","seroma_PA-",4.84510798077709
"XBR292","seroma_PA-",4.82676254972545
"XBR272","seroma_PA-",4.82190644888394
"XBR316","seroma_PA-",4.80603789240932
