"","pseudoStatus","pos_504.32958_16.273"
"XBR274","seroma_PA-",4.69300565537744
"XBR275","seroma_PA-",4.70177224890853
"XBR276","seroma_PA-",4.71865692330761
"XBR297","seroma_PA-",4.72994785059494
"XBR298","seroma_PA-",4.70312282436346
"XBR299","seroma_PA-",4.68219701877001
"XBR277","seroma_PA-",4.75180337633482
"XBR300","seroma_PA-",4.73924411785066
"XBR301","seroma_PA-",4.71711428722475
"XBR278","seroma_PA-",4.70590594348811
"XBR302","seroma_PA-",4.90902675168669
"XBR303","seroma_PA-",4.83997806270651
"XBR304","seroma_PA-",4.72805252225854
"XBR279","seroma_PA-",4.69009849683398
"XBR280","seroma_PA-",4.68614730737212
"XBR281","seroma_PA-",4.70278668255262
"XBR282","seroma_PA+",4.69934200034033
"XBR283","seroma_PA-",4.71401137580772
"XBR305","seroma_PA-",4.74587393765602
"XBR284","seroma_PA-",4.72110925694778
"XBR285","seroma_PA-",4.71401460502052
"XBR286","seroma_PA+",4.66649048238539
"XBR287","seroma_PA-",4.69142490235517
"XBR306","seroma_PA-",4.72373205109804
"XBR288","seroma_PA-",4.73728356927994
"XBR307","seroma_PA-",4.72775185610491
"XBR289","seroma_PA-",4.75946049209076
"XBR308","seroma_PA-",4.70885617187531
"XBR290","seroma_PA-",4.70853349257331
"XBR291","seroma_PA-",4.73158152312487
"XBR292","seroma_PA-",4.71323609204128
"XBR272","seroma_PA-",4.70837999123739
"XBR316","seroma_PA-",4.6925114347574
