Node,Str,file,rank
pos_2278.18423_8.327,471.9517244797077,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,37
pos_278.16281_9.311,470.36791873300245,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,38
pos_214.1317_5.011,469.6015796515535,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,39
pos_904.52178_5.547,469.53598018937043,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,40
pos_560.28008_5.46,462.2189396009556,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,41
pos_357.22029_13.924,461.1631931191574,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,42
pos_461.33469_13.882,454.0167027458909,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,43
pos_174.10044_2.681,442.48047287203724,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,44
pos_342.07442_7.314,435.5746455861274,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,45
pos_242.12647_8.728,422.24973653722395,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,46
pos_294.15783_7.726,414.05524393949173,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,47
pos_331.13286_9.031,406.43288505622496,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,48
pos_188.11603_4.489,406.3610236392032,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,49
pos_186.10037_2.143,405.5079032997457,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,50
pos_1706.91789_7.567,397.5182292644853,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,51
pos_312.14707_9.965,386.7175040133766,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,52
pos_557.38957_6.02,381.3919528552702,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,53
pos_136.03847_4.552,381.23594025477263,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,54
pos_347.06272_1.983,379.08320676771,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,55
pos_178.12105_4.778,376.994253725072,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,56
pos_244.17855_7.399,373.11753298659977,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,57
pos_660.25968_8.229,372.07043617002324,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,58
pos_680.43275_5.776,371.9053491167427,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,59
