"","into","sample","filename","xbr"
"CP001",10888.4261912477,1,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR001.mzML","XBR001"
"CP002",25178.7199055654,3,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR005.mzML","XBR005"
"CP003",14486.5334259735,4,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR006.mzML","XBR006"
"CP004",7767.28240225738,5,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR007.mzML","XBR007"
"CP005",2568.927131927,6,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR008.mzML","XBR008"
"CP006",30321.3662518868,9,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR012.mzML","XBR012"
"CP007",82217.0420179069,10,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR014.mzML","XBR014"
"CP008",10613.890423509,13,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR019.mzML","XBR019"
"CP009",17395.2727020779,14,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR021.mzML","XBR021"
"CP010",24442.2531644347,15,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR023.mzML","XBR023"
"CP011",39066.1874188706,16,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR024.mzML","XBR024"
"CP012",64976.037259788,18,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR026.mzML","XBR026"
"CP013",81259.3502410644,22,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR045.mzML","XBR045"
"CP014",73088.5820125715,23,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR046.mzML","XBR046"
"CP015",15037.6336416684,24,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR050.mzML","XBR050"
"CP016",20331.62686806,25,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR052.mzML","XBR052"
"CP017",49847.0549822413,26,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR053.mzML","XBR053"
"CP018",12640.6457916231,27,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR054.mzML","XBR054"
"CP019",14282.4753717917,29,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR059.mzML","XBR059"
"CP020",1549030.36128948,31,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR063.mzML","XBR063"
"CP021",4580.78544705972,32,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR065.mzML","XBR065"
"CP022",7859.60166376585,33,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR070.mzML","XBR070"
"CP023",1729.14363387239,34,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR072.mzML","XBR072"
"CP024",101721.612900247,35,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR078.mzML","XBR078"
"CP025",124569.775662752,36,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR080.mzML","XBR080"
"CP026",182859.158091265,37,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR081.mzML","XBR081"
"CP027",5095.19029839208,38,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR082.mzML","XBR082"
"CP028",1743.29064272518,40,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR084.mzML","XBR084"
"CP029",15372.787158989,45,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR094.mzML","XBR094"
"CP030",1815.41119107914,46,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR099.mzML","XBR099"
"CP031",116164.809820234,47,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR100.mzML","XBR100"
"CP032",116364.436549631,48,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR116.mzML","XBR116"
"CP033",2138.75731487227,49,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR117.mzML","XBR117"
"CP034",45144.8998223927,50,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR119.mzML","XBR119"
"CP035",224902.944995712,51,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR120.mzML","XBR120"
"CP036",348379.134706988,52,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR121.mzML","XBR121"
"CP037",4518.26995589103,54,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR126.mzML","XBR126"
"CP038",1119102.86812489,55,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR127.mzML","XBR127"
"CP039",23667.4471064178,56,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR129.mzML","XBR129"
"CP040",5057.50083514613,58,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR132.mzML","XBR132"
"CP041",241028.489969565,59,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR135.mzML","XBR135"
"CP042",2850.76217384802,62,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR141.mzML","XBR141"
"CP043",1853.05351931848,63,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR143.mzML","XBR143"
"CP044",765564.289712642,64,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR144.mzML","XBR144"
"CP045",371898.645701454,65,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR149.mzML","XBR149"
