"","into","sample","filename","xbr"
"CP046",560282.02128898,66,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR150.mzML","XBR150"
"CP047",3080.36166234717,68,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR158.mzML","XBR158"
"CP048",4314.90343679135,69,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR159.mzML","XBR159"
"CP049",6256.02030260305,70,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR160.mzML","XBR160"
"CP050",10487.85313447,72,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR162.mzML","XBR162"
"CP051",7688.79836013493,73,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR163.mzML","XBR163"
"CP052",13437.5364480536,74,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR164.mzML","XBR164"
"CP053",2221.98535879661,77,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR167.mzML","XBR167"
"CP054",17094.9204442921,78,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR168.mzML","XBR168"
"CP055",187569.299614121,79,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR169.mzML","XBR169"
"CP056",166215.225684334,80,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR170.mzML","XBR170"
"CP057",6393.42404694727,83,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR173.mzML","XBR173"
"CP058",2666.71440095733,85,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR175.mzML","XBR175"
"CP059",2145.27536318137,86,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR176.mzML","XBR176"
"CP060",16511.248089429,87,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR178.mzML","XBR178"
"CP061",2035.47990410353,88,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR179.mzML","XBR179"
"CP062",11701.7296839317,89,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR180.mzML","XBR180"
"CP063",1891.73892191988,90,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR181.mzML","XBR181"
"CP064",26040.5148066538,91,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR182.mzML","XBR182"
"CP065",11354.9373975964,93,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR184.mzML","XBR184"
"CP066",53119.5104598718,94,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR185.mzML","XBR185"
"CP067",637503.604582976,95,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR186.mzML","XBR186"
"CP068",1951.20166963151,99,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR197.mzML","XBR197"
"CP069",2475.54458574015,100,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR198.mzML","XBR198"
"CP070",1758.39897993831,102,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR200.mzML","XBR200"
"CP071",74619.7904028172,103,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR203.mzML","XBR203"
"CP072",811005.682204647,104,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR204.mzML","XBR204"
"CP073",1845.65474712239,105,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR207.mzML","XBR207"
"CP074",9408.61526090494,106,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR218.mzML","XBR218"
"CP075",1599.3706350122,107,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR219.mzML","XBR219"
"CP076",1872397.93207616,108,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR221.mzML","XBR221"
"CP077",18324.1183453356,109,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR222.mzML","XBR222"
"CP078",24593.3522375242,111,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR227.mzML","XBR227"
"CP079",21667.6542604742,112,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR228.mzML","XBR228"
"CP080",31716.587074056,114,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR231.mzML","XBR231"
"CP081",248774.883849416,115,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR232.mzML","XBR232"
"CP082",53248.6779963412,117,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR234.mzML","XBR234"
"CP083",22854.4101800093,118,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR235.mzML","XBR235"
"CP084",56126.4388786183,119,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR236.mzML","XBR236"
"CP085",657805.801375672,120,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR237.mzML","XBR237"
"CP086",4610.05882576886,121,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR238.mzML","XBR238"
"CP087",40322.2382174302,125,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR245.mzML","XBR245"
"CP088",63478.2740119361,126,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR249.mzML","XBR249"
"CP089",20398.6233579585,127,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR250.mzML","XBR250"
"CP090",32014.2160995202,128,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR251.mzML","XBR251"
"CP091",24210.8317609083,129,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR257.mzML","XBR257"
"CP092",767763.614922442,130,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR259.mzML","XBR259"
"CP093",9846.20768709277,137,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR269.mzML","XBR269"
"CP094",1997.83751615903,138,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR270.mzML","XBR270"
"CP095",65979239.7949034,139,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR271.mzML","XBR271"
"CP096",32851.3056435617,140,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR272.mzML","XBR272"
"CP097",9330.21990577422,141,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR273.mzML","XBR273"
"CP098",5200.9281825204,142,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR274.mzML","XBR274"
"CP099",1870.42093982074,143,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR275.mzML","XBR275"
"CP100",37571.4767886688,144,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR276.mzML","XBR276"
"CP101",26070.3505581237,145,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR277.mzML","XBR277"
"CP102",1750.38304136411,146,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR278.mzML","XBR278"
"CP103",118061.893579138,148,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR280.mzML","XBR280"
"CP104",364073.795857777,149,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR281.mzML","XBR281"
"CP105",24380.4668530895,150,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR282.mzML","XBR282"
"CP106",110353.831589082,151,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR283.mzML","XBR283"
"CP107",104996.299911673,152,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR284.mzML","XBR284"
"CP108",33059.823534618,153,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR285.mzML","XBR285"
"CP109",116654.505667887,154,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR286.mzML","XBR286"
"CP110",1258231.21924943,155,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR287.mzML","XBR287"
"CP111",24939.3816072446,156,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR288.mzML","XBR288"
"CP112",123092.175886911,157,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR289.mzML","XBR289"
"CP113",21263.7205086008,158,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR290.mzML","XBR290"
"CP114",515909.497933887,159,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR291.mzML","XBR291"
"CP115",12962.1509743869,160,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR292.mzML","XBR292"
"CP116",1636.03274728132,161,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR293.mzML","XBR293"
"CP117",72302.4478874073,164,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR296.mzML","XBR296"
"CP118",623080.106909821,166,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR298.mzML","XBR298"
"CP119",14677.3550911246,168,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR300.mzML","XBR300"
"CP120",3077.3067584866,169,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR301.mzML","XBR301"
"CP121",14902.4373454974,171,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR303.mzML","XBR303"
"CP122",9980.43689048662,172,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR304.mzML","XBR304"
"CP123",834521.238675532,175,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR307.mzML","XBR307"
"CP124",168963.059648465,176,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR308.mzML","XBR308"
"CP125",5964.00586131284,178,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR312.mzML","XBR312"
"CP126",16395.1126099636,180,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR315.mzML","XBR315"
